CLAVE,LONGITUD,LATITUD,ORGANISMO_DE_CUENCA,SUBTIPO,GRUPO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,ENTEROC_NMP_100mL,OD_PORC,OD_PORC_SUP,OD_PORC_MED,OD_PORC_FON,TOX_D_48_UT,TOX_V_15_UT,TOX_D_48_SUP_UT,TOX_FIS_SUP_15_UT,CALIDAD_DBO,CALIDAD_DQO,CALIDAD_SST,CALIDAD_COLI_FEC,CALIDAD_E_COLI,CALIDAD_ENTEROC,CALIDAD_OD_PORC,CALIDAD_OD_PORC_SUP,CALIDAD_OD_PORC_MED,CALIDAD_OD_PORC_FON,CALIDAD_TOX_D_48,CALIDAD_TOX_V_15,CALIDAD TOX_D_48_SUP,CALIDAD_TOX_FIS_SUP_15,SEMAFORO
DLHID1481,-98.14241,20.12749,4.0,14.0,1.0,1.0040250984580468,1.0461425550876333,1.0000955403870446,1.0002778930734786,1.0000844726502303,1.0,1.0,2.5575062701540663,1.0,3.6054371785451877,1.0,1.0,1.0,1.0,1,3,1,3,2,0,0,2,0,3,0,0,1,1,1
DLHID1482,-98.1394,20.17025,4.0,22.0,1.0,1.0,1.0281825012668844,1.0,1.0002778930734786,1.0001588651207103,1.0,1.0,2.3446793264063057,1.0,3.6054371785451877,1.0,1.0,1.0,1.0,1,2,1,3,2,0,0,2,0,3,0,0,1,1,1
DLHID1483,-98.36839,19.86751,5.0,14.0,1.0,1.0219277751818971,1.1165359008859455,1.0325792719822506,1.000024958673846,1.000024958673846,1.0,1.0,2.006091006807596,1.0,1.0,1.0,1.0,1.0,1.0,2,4,2,1,1,0,0,3,0,0,0,0,1,1,3
DLHID1484,-98.39119,19.86899,0.0,14.0,1.0,1.0129163607235832,1.1271986999143762,1.0249360410186727,1.000054715662038,1.000054715662038,1.0,1.0,1.957721246864923,1.0,1.0,1.0,1.0,1.0,1.0,2,4,2,2,2,0,0,3,0,0,0,0,1,1,3
DLHID1485,-98.39931,19.84471,0.0,14.0,1.0,1.035444896869368,1.107382878711098,1.0287576565004617,1.000032397920894,1.000013799803274,1.0,1.0,2.1060551773557865,1.0,1.0,1.0,1.0,1.0,1.0,3,4,2,1,1,0,0,3,0,0,0,0,1,1,3
DLHID1487,-99.69615,20.57444,5.0,24.0,2.0,1.0306388091582672,1.1512922222028064,1.009649579091517,1.000054715662038,1.00001008017975,1.0,3.1729879740980573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4,1,2,1,0,2,0,0,0,1,1,0,0,3
DLHID1490,-98.75667,20.16492,5.0,22.0,1.0,1.013457045591082,1.1790029182029462,1.002006348127939,1.0000844726502303,1.0000844726502303,1.0,1.0,1.0,1.0,1.7141807494489347,1.0,1.0,1.0,1.0,2,4,1,3,2,0,0,0,0,4,0,0,1,1,3
DLHID1491,-99.69259,20.58118,5.0,24.0,2.0,1.0518456711834991,1.0624670173170008,1.0172928100550949,1.0001588651207103,1.0001588651207103,1.0,2.5069380203515266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,2,3,2,0,3,0,0,0,1,1,0,0,1
DLHID1492,-99.5012,20.66189,5.0,22.0,1.0,1.0,1.1134848934943296,1.009649579091517,1.000013799803274,1.000013799803274,1.0,1.0,3.4184879971336435,4.969943135662064,2.395297575312271,1.0,1.0,1.0,1.0,1,4,1,1,1,0,0,1,2,3,0,0,1,1,3
DLHID1493,-99.47875,20.63485,5.0,22.0,1.0,1.0210266337360656,1.1226064619847274,1.009649579091517,1.0,1.0,1.0,1.0,3.4636331064134716,5.130787977254266,2.884643644379133,1.0,1.0,1.0,1.0,2,4,1,1,1,0,0,1,2,3,0,0,1,1,3
DLHID1494,-99.368,20.58547,5.0,24.0,2.0,1.0448167679060143,1.0654865710241668,1.0440441184276175,1.000024958673846,1.000024958673846,1.0,2.1364477335800185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,2,1,1,0,3,0,0,0,1,1,0,0,1
DLHID1495,-99.34621,20.5754,0.0,24.0,2.0,1.0247513517121687,1.1077603229244937,1.0402225029458285,1.000032397920894,1.000032397920894,1.0,2.382053654024052,1.0,1.0,1.0,1.072237407262788,1.235963952365626,1.0,1.0,3,4,2,1,1,0,3,0,0,0,2,3,0,0,3
DLHID1497,-99.37778,20.43658,0.0,24.0,2.0,1.1581803617916027,1.1393712757963899,1.0172928100550949,1.00089163095494,1.00089163095494,1.0,2.3570767807585566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4,2,4,5,0,3,0,0,0,1,1,0,0,3
DLHID1500,-99.32684,20.3742,0.0,3.0,2.0,1.0642814231359723,1.1484928442867877,1.0211144255368838,1.0007800422492197,1.0007800422492197,1.0,2.4236817761332103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4,2,4,5,0,3,0,0,0,1,1,0,0,3
DLHID1502,-99.22118,20.48079,0.0,24.0,2.0,1.158901274948268,1.1804812413720795,1.0364008874640396,1.0040905071855872,1.0040905071855872,1.0,2.60268270120259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4,2,5,5,0,3,0,0,0,1,1,0,0,3
DLHID1513,-99.44553,20.86451,5.0,24.0,2.0,1.0480608771110074,1.0881332238279133,1.0,1.0002778930734786,1.0002778930734786,1.0,3.593432007400555,1.0,1.0,1.0,1.0546661460367044,1.1105374959768266,1.0,1.0,3,3,1,3,3,0,1,0,0,0,2,3,0,0,1
DLHID1517M1,-98.55999,20.22143,5.0,14.0,1.0,1.0,1.1127929124364373,1.0172928100550949,1.000054715662038,1.000054715662038,1.0,1.0,1.773916159082766,1.0,1.0,1.0,1.0,1.0,1.0,1,4,2,2,2,0,0,3,0,0,0,0,1,1,3
DLHID1518,-98.80922,21.01235,5.0,24.0,2.0,1.0,1.026609817044402,1.0,1.0017099481302218,1.0007800422492197,1.0,3.2562442183163736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2,1,4,5,0,2,0,0,0,1,1,0,0,2
DLHID1519,-98.52737,21.05163,5.0,24.0,2.0,1.0,1.0243451517640274,1.0,1.00089163095494,1.0005568648377792,1.0,3.38945420906568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2,1,4,5,0,2,0,0,0,1,1,0,0,2
DLHID1520,-98.33913,21.01557,5.0,24.0,2.0,1.0,1.034473238156814,1.0,1.0017099481302218,1.00089163095494,1.0,3.098057354301573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3,1,4,5,0,2,0,0,0,1,1,0,0,2
DLHID6456,-99.34836,20.07715,0.0,22.0,1.0,1.549155597089647,1.296639698044629,1.07079542680014,1.0000733137796582,1.000054715662038,1.0,1.0,1.2740953063418128,1.0,1.3769287288758265,1.0,1.0,1.0,1.0,4,4,3,2,2,0,0,4,0,4,0,0,1,1,3
